shipment_id,sku_id,site_type,process_path,error_type,item_mismatch,final_received,overaged_units,unfilled_units,initial_units,unreceived_units,unit_cost,initial_value,final_value,value_distortion,unreceived_value,correction_minutes_est,labor_cost_est_at_$30hr,hazard_flag,compliance_hold
SHIP-EUDWWC2P,SKU-0100,Standard,Automated (SSCC),Correct,0,8,0.0,0.0,8,0,11.3,90.4,90.4,0.0,0.0,0.29,0.14,0,0
SHIP-3BFRGLXE,SKU-0032,High-compliance,Manual,Correct,0,1502,0.0,0.0,1503,1,9.04,13587.12,13578.08,9.04,9.04,0.46,0.23,0,0
SHIP-XDFU3FK7,SKU-0017,Standard,Automated (SSCC),SSCC Wrong Qty,0,1686,33.0,17.0,1719,33,6.2,10657.8,10453.2,204.6,204.6,1.8,0.9,1,0
SHIP-9UQMVUKA,SKU-0122,Standard,Automated (SSCC),SSCC Wrong Qty,0,280,19.0,6.0,299,19,8.02,2397.98,2245.6,152.38,152.38,1.26,0.63,1,0
SHIP-E8PRQ3CC,SKU-0177,Standard,Manual,SSCC Wrong Item,1,1299,21.0,12.0,1320,55,8.23,10863.6,10690.77,172.83,452.65,9.04,4.52,0,0
SHIP-JRXRQ8FU,SKU-0152,High-compliance,Automated (SSCC),Correct,0,962,0.0,0.0,962,0,7.88,7580.56,7580.56,0.0,0.0,0.33,0.16,0,0
SHIP-TR3J8LTS,SKU-0105,Standard,Manual,SSCC Wrong Item,1,124,20.0,9.0,144,29,21.88,3150.72,2713.12,437.6,634.52,6.31,3.16,0,0
SHIP-5QKAM4A6,SKU-0008,Standard,Automated (SSCC),Correct,0,1648,0.0,1.0,1648,0,8.59,14156.32,14156.32,0.0,0.0,0.48,0.24,0,0
SHIP-TEKTLDXX,SKU-0177,Standard,Automated (SSCC),Correct,0,1568,0.0,0.0,1568,0,7.99,12528.32,12528.32,0.0,0.0,0.49,0.24,0,0
SHIP-DJHXZZ82,SKU-0081,Standard,Automated (SSCC),Correct,0,1021,0.0,0.0,1021,0,3.16,3226.36,3226.36,0.0,0.0,0.13,0.06,0,0
SHIP-LDV79HHB,SKU-0052,High-compliance,Automated (SSCC),Correct,0,1274,0.0,2.0,1274,0,5.77,7350.98,7350.98,0.0,0.0,0.73,0.36,0,0
SHIP-ETTMK4Q3,SKU-0160,Standard,Manual,Correct,0,715,0.0,0.0,715,0,7.91,5655.65,5655.65,0.0,0.0,0.22,0.11,0,0
SHIP-8LG8WKVS,SKU-0134,High-compliance,Manual,Correct,0,1427,0.0,0.0,1427,0,6.4,9132.8,9132.8,0.0,0.0,0.63,0.32,0,0
SHIP-6J97FFTB,SKU-0135,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,801,15.0,5.0,816,15,18.01,14696.16,14426.01,270.15,270.15,1.36,0.68,0,0
SHIP-KP99E6CZ,SKU-0050,Standard,Automated (SSCC),Correct,0,1780,1.0,1.0,1781,1,8.31,14800.11,14791.8,8.31,8.31,0.54,0.27,0,0
SHIP-56H6DSRL,SKU-0178,Standard,Automated (SSCC),Correct,0,113,0.0,1.0,113,0,17.19,1942.47,1942.47,0.0,0.0,0.31,0.16,1,0
SHIP-A2LXPM6D,SKU-0082,High-compliance,Automated (SSCC),Correct,0,309,0.0,1.0,309,0,9.31,2876.79,2876.79,0.0,0.0,0.46,0.23,0,0
SHIP-ZZNJA78H,SKU-0096,High-compliance,Automated (SSCC),Correct,0,1743,0.0,1.0,1743,0,9.19,16018.17,16018.17,0.0,0.0,0.37,0.18,0,0
SHIP-BDC46EZF,SKU-0135,High-compliance,Automated (SSCC),Correct,0,519,0.0,0.0,519,0,8.63,4478.97,4478.97,0.0,0.0,0.4,0.2,0,0
SHIP-MVZ5BGJK,SKU-0119,High-compliance,Automated (SSCC),Correct,0,559,0.0,0.0,559,0,9.04,5053.36,5053.36,0.0,0.0,0.36,0.18,0,0
SHIP-92L9RSPE,SKU-0031,Standard,Manual,Correct,0,1424,0.0,0.0,1424,0,21.31,30345.44,30345.44,0.0,0.0,0.1,0.05,1,0
SHIP-7AFHJEAX,SKU-0055,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,340,10.0,20.0,350,10,2.83,990.5,962.2,28.3,28.3,1.84,0.92,1,0
SHIP-9DKS7Y2U,SKU-0065,Standard,Automated (SSCC),SSCC Wrong Item + Qty,1,924,47.0,40.0,971,52,3.32,3223.72,3067.68,156.04,172.64,6.09,3.04,0,0
SHIP-PG53AYCZ,SKU-0170,High-compliance,Automated (SSCC),Correct,0,514,0.0,0.0,514,0,6.88,3536.32,3536.32,0.0,0.0,0.33,0.16,0,0
SHIP-4EPDU7CN,SKU-0128,High-compliance,Manual,SSCC Wrong Qty,0,356,15.0,7.0,371,15,9.09,3372.39,3236.04,136.35,136.35,1.11,0.56,0,0
SHIP-9KERSXL8,SKU-0066,Standard,Automated (SSCC),SSCC Wrong Item,1,1735,19.0,6.0,1754,51,12.74,22345.96,22103.9,242.06,649.74,9.11,4.56,0,0
SHIP-SK87RAVT,SKU-0132,High-compliance,Automated (SSCC),SSCC Wrong Item + Qty,1,359,53.0,39.0,412,80,11.43,4709.16,4103.37,605.79,914.4,10.57,5.28,0,0
SHIP-EW4DZEZP,SKU-0133,Standard,Automated (SSCC),SSCC Wrong Qty,0,169,30.0,14.0,199,30,7.45,1482.55,1259.05,223.5,223.5,1.54,0.77,0,0
SHIP-A8FVF7Z3,SKU-0071,Standard,Manual,SSCC Wrong Item,1,1213,24.0,13.0,1237,48,15.02,18579.74,18219.26,360.48,720.96,6.45,3.22,0,0
SHIP-PQW35AXD,SKU-0073,Standard,Automated (SSCC),SSCC Wrong Item,1,1561,14.0,12.0,1575,52,15.11,23798.25,23586.71,211.54,785.72,7.7,3.85,0,0
SHIP-K4J3QHLS,SKU-0161,Standard,Automated (SSCC),SSCC Wrong Qty,0,229,19.0,18.0,248,19,9.89,2452.72,2264.81,187.91,187.91,1.7,0.85,0,0
SHIP-2V752VKP,SKU-0101,High-compliance,Automated (SSCC),Correct,0,1274,1.0,1.0,1275,1,14.6,18615.0,18600.4,14.6,14.6,0.29,0.14,0,0
SHIP-DM7PDW85,SKU-0027,Standard,Manual,Correct,0,973,0.0,2.0,973,0,10.34,10060.82,10060.82,0.0,0.0,0.47,0.24,0,0
SHIP-JQSHJH9Z,SKU-0129,Standard,Automated (SSCC),Correct,0,1494,0.0,0.0,1494,0,6.82,10189.08,10189.08,0.0,0.0,0.18,0.09,0,0
SHIP-448D6CRV,SKU-0106,Standard,Automated (SSCC),Correct,0,228,0.0,0.0,228,0,12.79,2916.12,2916.12,0.0,0.0,0.25,0.12,0,0
SHIP-MEG4LK7E,SKU-0092,High-compliance,Automated (SSCC),Correct,0,1756,1.0,0.0,1757,1,9.54,16761.78,16752.24,9.54,9.54,0.32,0.16,0,0
SHIP-77VFEKUE,SKU-0130,High-compliance,Automated (SSCC),Correct,0,1114,0.0,0.0,1114,0,9.03,10059.42,10059.42,0.0,0.0,0.53,0.26,0,0
SHIP-QDTAYBGF,SKU-0163,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,1515,39.0,12.0,1554,39,18.85,29292.9,28557.75,735.15,735.15,2.4,1.2,0,0
SHIP-4BPUSX3N,SKU-0060,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,651,41.0,21.0,692,41,2.65,1833.8,1725.15,108.65,108.65,1.63,0.82,1,0
SHIP-4L9SZ635,SKU-0076,Standard,Automated (SSCC),SSCC Wrong Item,1,1698,23.0,19.0,1721,38,4.44,7641.24,7539.12,102.12,168.72,7.36,3.68,1,1
SHIP-TBRF6HHH,SKU-0034,High-compliance,Automated (SSCC),Correct,0,1127,0.0,0.0,1127,0,4.99,5623.73,5623.73,0.0,0.0,0.45,0.22,0,0
SHIP-WU8PKBAM,SKU-0116,High-compliance,Automated (SSCC),Correct,0,228,1.0,0.0,229,1,7.53,1724.37,1716.84,7.53,7.53,0.5,0.25,0,0
SHIP-7S6DC4DB,SKU-0073,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,1661,16.0,10.0,1677,16,7.95,13332.15,13204.95,127.2,127.2,1.04,0.52,0,0
SHIP-N7YD4436,SKU-0062,Standard,Automated (SSCC),SSCC Wrong Item,1,1432,25.0,16.0,1457,26,4.25,6192.25,6086.0,106.25,110.5,8.34,4.17,0,0
SHIP-H9L3U2WW,SKU-0125,High-compliance,Automated (SSCC),SSCC Wrong Item + Qty,1,540,48.0,41.0,588,50,5.51,3239.88,2975.4,264.48,275.5,6.64,3.32,0,0
SHIP-V2ZE4TLS,SKU-0074,Standard,Manual,SSCC Wrong Item,1,982,4.0,9.0,986,11,5.87,5787.82,5764.34,23.48,64.57,7.28,3.64,0,0
SHIP-854Q3NXW,SKU-0084,High-compliance,Automated (SSCC),SSCC Wrong Item,1,698,24.0,10.0,722,46,30.84,22266.48,21526.32,740.16,1418.64,5.01,2.5,0,0
SHIP-HJBEPRFP,SKU-0079,Standard,Automated (SSCC),Correct,0,978,0.0,0.0,978,0,22.22,21731.16,21731.16,0.0,0.0,0.37,0.18,0,0
SHIP-VHLMSMZL,SKU-0047,High-compliance,Automated (SSCC),Correct,0,1737,0.0,0.0,1737,0,7.35,12766.95,12766.95,0.0,0.0,0.38,0.19,0,0
SHIP-PNFXHK38,SKU-0023,Standard,Automated (SSCC),Correct,0,1618,0.0,0.0,1618,0,7.52,12167.36,12167.36,0.0,0.0,0.51,0.26,0,0
SHIP-X75R2LQT,SKU-0149,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,387,23.0,24.0,410,23,5.08,2082.8,1965.96,116.84,116.84,1.16,0.58,0,0
SHIP-85RWG3TT,SKU-0017,High-compliance,Automated (SSCC),SSCC Wrong Item + Qty,1,1749,33.0,29.0,1782,79,3.48,6201.36,6086.52,114.84,274.92,8.51,4.26,0,0
SHIP-2WCKFZBG,SKU-0059,High-compliance,Manual,Correct,0,788,0.0,0.0,788,0,8.51,6705.88,6705.88,0.0,0.0,0.23,0.12,0,0
SHIP-VYS57E8V,SKU-0120,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,1268,10.0,4.0,1278,10,5.48,7003.44,6948.64,54.8,54.8,1.18,0.59,0,0
SHIP-WDVZUCS7,SKU-0024,High-compliance,Automated (SSCC),Correct,0,1375,0.0,0.0,1375,0,8.65,11893.75,11893.75,0.0,0.0,0.53,0.26,0,0
SHIP-ZE88F3PU,SKU-0118,Standard,Automated (SSCC),Correct,0,869,0.0,0.0,869,0,4.05,3519.45,3519.45,0.0,0.0,0.1,0.05,0,0
SHIP-Q39378CJ,SKU-0132,Standard,Automated (SSCC),Correct,0,821,0.0,1.0,821,0,6.17,5065.57,5065.57,0.0,0.0,0.2,0.1,0,0
SHIP-ZUBDSVFF,SKU-0119,High-compliance,Manual,Correct,0,821,0.0,0.0,821,0,9.72,7980.12,7980.12,0.0,0.0,0.38,0.19,1,0
SHIP-EUAURQXS,SKU-0055,Standard,Automated (SSCC),SSCC Wrong Item + Qty,1,1552,26.0,44.0,1578,69,10.84,17105.52,16823.68,281.84,747.96,9.08,4.54,0,0
SHIP-Z273SRHV,SKU-0004,Standard,Automated (SSCC),Correct,0,695,0.0,0.0,695,0,11.12,7728.4,7728.4,0.0,0.0,0.2,0.1,0,0
SHIP-E75D3DZC,SKU-0159,High-compliance,Manual,SSCC Wrong Item,1,503,21.0,14.0,524,32,4.66,2441.84,2343.98,97.86,149.12,6.17,3.08,0,0
SHIP-RXZP72GX,SKU-0059,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,650,39.0,13.0,689,39,13.84,9535.76,8996.0,539.76,539.76,1.36,0.68,1,0
SHIP-ZLZ642WJ,SKU-0145,High-compliance,Automated (SSCC),Correct,0,350,0.0,0.0,350,0,6.05,2117.5,2117.5,0.0,0.0,0.47,0.24,0,0
SHIP-3MTLLF8E,SKU-0036,High-compliance,Automated (SSCC),Correct,0,704,0.0,0.0,704,0,12.38,8715.52,8715.52,0.0,0.0,0.3,0.15,1,0
SHIP-C7TQZNEZ,SKU-0030,Standard,Manual,SSCC Wrong Item,1,205,31.0,16.0,236,46,8.98,2119.28,1840.9,278.38,413.08,8.92,4.46,0,0
SHIP-FT87M2VR,SKU-0140,Standard,Automated (SSCC),Correct,0,161,0.0,1.0,161,0,4.53,729.33,729.33,0.0,0.0,0.36,0.18,0,0
SHIP-ENW9AY58,SKU-0169,Standard,Automated (SSCC),SSCC Wrong Item,1,1302,26.0,6.0,1328,75,7.71,10238.88,10038.42,200.46,578.25,7.13,3.56,0,0
SHIP-PDJ56WDD,SKU-0155,Standard,Manual,Correct,0,139,0.0,0.0,139,0,10.83,1505.37,1505.37,0.0,0.0,0.49,0.24,0,0
SHIP-RUBXTADQ,SKU-0135,Standard,Manual,SSCC Wrong Qty,0,1022,41.0,24.0,1063,41,12.26,13032.38,12529.72,502.66,502.66,1.86,0.93,0,0
SHIP-Z4PK8QLQ,SKU-0045,High-compliance,Automated (SSCC),SSCC Wrong Item,1,1403,30.0,8.0,1433,43,8.41,12051.53,11799.23,252.3,361.63,9.95,4.97,0,0
SHIP-AKS7Z3TD,SKU-0164,High-compliance,Automated (SSCC),Correct,0,1304,0.0,1.0,1304,0,19.41,25310.64,25310.64,0.0,0.0,0.47,0.24,0,0
SHIP-N9B6XK24,SKU-0120,High-compliance,Automated (SSCC),Correct,0,802,0.0,0.0,802,0,14.94,11981.88,11981.88,0.0,0.0,0.59,0.3,1,0
SHIP-BDX9AXEW,SKU-0031,High-compliance,Automated (SSCC),SSCC Wrong Item + Qty,1,348,32.0,33.0,380,72,7.94,3017.2,2763.12,254.08,571.68,6.44,3.22,0,0
SHIP-VCX65AHH,SKU-0024,High-compliance,Manual,Correct,0,1675,1.0,0.0,1676,1,13.13,22005.88,21992.75,13.13,13.13,0.29,0.14,0,0
SHIP-QE523GA7,SKU-0156,Standard,Automated (SSCC),Correct,0,1503,0.0,0.0,1503,0,23.73,35666.19,35666.19,0.0,0.0,0.23,0.12,0,0
SHIP-KX7BAAFB,SKU-0050,High-compliance,Automated (SSCC),Correct,0,1101,0.0,0.0,1101,0,24.05,26479.05,26479.05,0.0,0.0,0.44,0.22,1,0
SHIP-4V938HK5,SKU-0138,High-compliance,Manual,Correct,0,156,0.0,0.0,156,0,4.88,761.28,761.28,0.0,0.0,0.41,0.2,1,0
SHIP-HBX387D2,SKU-0025,Standard,Automated (SSCC),SSCC Wrong Qty,0,63,11.0,15.0,74,11,5.68,420.32,357.84,62.48,62.48,0.95,0.47,0,0
SHIP-5Y44QBQG,SKU-0051,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,567,24.0,3.0,591,24,18.96,11205.36,10750.32,455.04,455.04,1.09,0.55,1,0
SHIP-DDYSTZTW,SKU-0051,Standard,Automated (SSCC),Correct,0,283,0.0,0.0,283,0,5.32,1505.56,1505.56,0.0,0.0,0.21,0.1,1,0
SHIP-C5QE4ZBG,SKU-0051,High-compliance,Automated (SSCC),SSCC Wrong Item,1,1548,14.0,13.0,1562,41,4.66,7278.92,7213.68,65.24,191.06,3.0,1.5,1,1
SHIP-AJDYS9ZV,SKU-0121,Standard,Manual,Correct,0,370,0.0,0.0,370,0,7.08,2619.6,2619.6,0.0,0.0,0.33,0.16,1,0
SHIP-SBCVABH6,SKU-0164,High-compliance,Automated (SSCC),Correct,0,508,0.0,0.0,508,0,11.14,5659.12,5659.12,0.0,0.0,0.3,0.15,0,0
SHIP-QYPFMC2F,SKU-0163,Standard,Automated (SSCC),SSCC Wrong Qty,0,1756,20.0,14.0,1776,20,8.57,15220.32,15048.92,171.4,171.4,1.53,0.76,0,0
SHIP-N9UQT3JW,SKU-0133,High-compliance,Automated (SSCC),SSCC Wrong Item + Qty,1,1472,56.0,23.0,1528,74,6.52,9962.56,9597.44,365.12,482.48,13.06,6.53,0,0
SHIP-5UQEH8TK,SKU-0037,High-compliance,Manual,Correct,0,393,1.0,0.0,394,1,6.44,2537.36,2530.92,6.44,6.44,0.62,0.31,0,0
SHIP-PUTYJWQ8,SKU-0172,Standard,Automated (SSCC),Correct,0,690,0.0,0.0,690,0,6.32,4360.8,4360.8,0.0,0.0,0.32,0.16,0,0
SHIP-FEQSYN7R,SKU-0098,High-compliance,Manual,Correct,0,928,0.0,0.0,928,0,5.81,5391.68,5391.68,0.0,0.0,0.44,0.22,0,0
SHIP-ED9E8JCK,SKU-0098,High-compliance,Manual,SSCC Wrong Item,1,1195,21.0,9.0,1216,27,28.24,34339.84,33746.8,593.04,762.48,6.12,3.06,1,1
SHIP-VP3VNW9P,SKU-0126,Standard,Automated (SSCC),Correct,0,1685,1.0,0.0,1686,1,10.47,17652.42,17641.95,10.47,10.47,0.17,0.08,0,0
SHIP-EP4G8UVL,SKU-0138,High-compliance,Manual,Correct,0,1568,0.0,0.0,1568,0,14.06,22046.08,22046.08,0.0,0.0,0.65,0.32,1,0
SHIP-7BKPRREH,SKU-0171,Standard,Automated (SSCC),SSCC Wrong Qty,0,1758,29.0,9.0,1787,29,7.07,12634.09,12429.06,205.03,205.03,1.41,0.7,0,0
SHIP-DUMUUYTW,SKU-0105,Standard,Automated (SSCC),Correct,0,73,0.0,0.0,73,0,8.22,600.06,600.06,0.0,0.0,0.51,0.26,0,0
SHIP-UWVLH3LT,SKU-0110,High-compliance,Automated (SSCC),Correct,0,425,0.0,0.0,425,0,6.32,2686.0,2686.0,0.0,0.0,0.29,0.14,0,0
SHIP-GPSWSM8S,SKU-0134,Standard,Manual,Correct,0,1013,0.0,0.0,1013,0,2.5,2532.5,2532.5,0.0,0.0,0.38,0.19,1,0
SHIP-3ZT6E75S,SKU-0046,High-compliance,Manual,Correct,0,88,0.0,0.0,88,0,4.53,398.64,398.64,0.0,0.0,0.27,0.14,0,0
SHIP-ZSJ3HLS4,SKU-0056,Standard,Manual,Correct,0,639,0.0,0.0,639,0,3.65,2332.35,2332.35,0.0,0.0,0.59,0.3,0,0
SHIP-NRBDBC54,SKU-0112,High-compliance,Manual,SSCC Wrong Item,1,276,11.0,11.0,287,42,2.93,840.91,808.68,32.23,123.06,7.14,3.57,0,0
SHIP-4BCJULRF,SKU-0012,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,1679,39.0,23.0,1718,39,4.96,8521.28,8327.84,193.44,193.44,3.23,1.62,0,0
SHIP-ZLCZ6AP4,SKU-0058,High-compliance,Manual,SSCC Wrong Qty,0,113,21.0,8.0,134,21,17.5,2345.0,1977.5,367.5,367.5,1.29,0.64,0,0
SHIP-Y5PMYEHV,SKU-0129,Standard,Manual,SSCC Wrong Item + Qty,1,267,12.0,21.0,279,40,8.83,2463.57,2357.61,105.96,353.2,6.23,3.12,1,1
SHIP-XDSMS8C9,SKU-0175,Standard,Automated (SSCC),Correct,0,351,0.0,0.0,351,0,17.21,6040.71,6040.71,0.0,0.0,0.51,0.26,0,0
SHIP-Q2PK2YEY,SKU-0093,Standard,Automated (SSCC),Correct,0,267,0.0,0.0,267,0,11.08,2958.36,2958.36,0.0,0.0,0.19,0.1,0,0
SHIP-2N7WLAXG,SKU-0072,Standard,Automated (SSCC),SSCC Wrong Item + Qty,1,1023,67.0,13.0,1090,81,13.35,14551.5,13657.05,894.45,1081.35,6.16,3.08,0,0
SHIP-2SQFYFP4,SKU-0079,Standard,Manual,Correct,0,655,0.0,0.0,655,0,5.75,3766.25,3766.25,0.0,0.0,0.25,0.12,1,0
SHIP-798TG439,SKU-0123,Standard,Automated (SSCC),SSCC Wrong Qty,0,1642,30.0,12.0,1672,30,11.73,19612.56,19260.66,351.9,351.9,2.21,1.1,0,0
SHIP-WESQ4NLC,SKU-0098,Standard,Automated (SSCC),SSCC Wrong Qty,0,469,26.0,23.0,495,26,12.99,6430.05,6092.31,337.74,337.74,2.05,1.02,0,0
SHIP-42BPRR7E,SKU-0005,Standard,Automated (SSCC),Correct,0,966,0.0,0.0,966,0,6.76,6530.16,6530.16,0.0,0.0,0.19,0.1,0,0
SHIP-KFH78BWH,SKU-0097,High-compliance,Automated (SSCC),Correct,0,1188,0.0,0.0,1188,0,11.94,14184.72,14184.72,0.0,0.0,0.37,0.18,0,0
SHIP-GKGR9UZR,SKU-0072,Standard,Automated (SSCC),Correct,0,1126,0.0,0.0,1126,0,11.98,13489.48,13489.48,0.0,0.0,0.18,0.09,0,0
SHIP-ACJH445W,SKU-0126,Standard,Automated (SSCC),Correct,0,1433,0.0,0.0,1433,0,6.86,9830.38,9830.38,0.0,0.0,0.39,0.2,0,0
SHIP-TWPX32VB,SKU-0157,High-compliance,Manual,Correct,0,363,1.0,0.0,364,1,5.15,1874.6,1869.45,5.15,5.15,0.18,0.09,0,0
SHIP-ZMZT6L75,SKU-0173,High-compliance,Automated (SSCC),Correct,0,913,0.0,0.0,913,0,4.99,4555.87,4555.87,0.0,0.0,0.48,0.24,0,0
SHIP-LRT2Y5MS,SKU-0110,High-compliance,Manual,SSCC Wrong Qty,0,1441,18.0,12.0,1459,18,9.42,13743.78,13574.22,169.56,169.56,1.21,0.6,0,0
SHIP-P7KUD5NL,SKU-0065,Standard,Automated (SSCC),SSCC Wrong Item,1,1553,17.0,9.0,1570,34,10.63,16689.1,16508.39,180.71,361.42,6.56,3.28,1,1
SHIP-UR5TSDAN,SKU-0080,High-compliance,Manual,SSCC Wrong Item,1,1112,19.0,18.0,1131,53,6.07,6865.17,6749.84,115.33,321.71,6.09,3.04,0,0
SHIP-97WWNFAL,SKU-0032,Standard,Automated (SSCC),Correct,0,1173,0.0,0.0,1173,0,9.15,10732.95,10732.95,0.0,0.0,0.34,0.17,0,0
SHIP-LGJAV7YQ,SKU-0168,Standard,Automated (SSCC),Correct,0,1555,0.0,0.0,1555,0,12.0,18660.0,18660.0,0.0,0.0,0.52,0.26,0,0
SHIP-PKEVUAPJ,SKU-0152,Standard,Automated (SSCC),Correct,0,1124,0.0,1.0,1124,0,12.29,13813.96,13813.96,0.0,0.0,0.22,0.11,0,0
SHIP-FYSWY93V,SKU-0153,High-compliance,Automated (SSCC),Correct,0,1707,0.0,0.0,1707,0,19.61,33474.27,33474.27,0.0,0.0,0.26,0.13,0,0
