shipment_id,seller_mid,warehouse_id,program_type,sku_id,site_type,process_path,defect_root_cause,error_type,item_mismatch,asin_count,boxes_processed,initial_units,final_received,overaged_units,unfilled_units,unreceived_units,unit_cost,initial_value,final_value,value_distortion,unreceived_value,correction_minutes_est,labor_cost_est_at_$30hr,hazard_flag,compliance_hold
FBAVJX8UIBRS,MZ1N3IUZGPPOHS,FC-A,HDSC,SKU-0157,Standard,Manual,Unscannable-Barcode,Unscannable Barcode,0,1,13,10310,10182,128,141,53,20.95,215994.5,213312.9,2681.6,1110.35,15.72,7.86,0,0
FBAYVGIUI9KK,MHZLM72JEYN938,FC-D,HDSC,SKU-0206,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,46,411,10540,9945,595,43,595,12.2,128588.0,121329.0,7259.0,7259.0,35.82,17.91,0,0
FBAJD0IB6IID,MLRYE89FX5RX1K,FC-D,HDSC_LITE,SKU-0074,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,35,356,9209,9087,122,91,122,23.87,219818.83,216906.69,2912.14,2912.14,10.63,5.32,0,0
FBA79OR7875A,MUD9K9TR74QGEF,FC-A,HDSC,SKU-0118,Standard,Manual,Correct,Correct,0,1,478,10038,10038,0,0,0,28.3,284075.4,284075.4,0.0,0.0,0.21,0.1,0,0
FBAPLOD9R7AN,MQJLUUJMIYQFY7,FC-A,HDSC,SKU-0228,Standard,Manual,Correct,Correct,0,1,423,9729,9729,0,0,0,14.76,143600.04,143600.04,0.0,0.0,0.21,0.1,0,0
FBAOTQTXHI15,MCQZCUCTSUFLSE,FC-D,HDSC_LITE,SKU-0053,High-compliance,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,191,9925,8923,1002,93,1002,31.76,315218.0,283394.48,31823.52,31823.52,7.31,3.65,1,1
FBAAJAHCPZTC,M69QKGEX08N6Q7,FC-F,HDSC_LITE,SKU-0097,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,370,5050,4967,83,276,17,23.91,120745.5,118760.97,1984.53,406.47,5.82,2.91,0,0
FBAYTT3IMJ70,ME3P15AHDBVZB0,FC-A,HDSC_LITE,SKU-0103,Standard,Automated (SSCC),Wrong-Product-Submitted,SSCC Wrong Item + Qty,1,1,237,4889,4649,240,276,240,9.95,48645.55,46257.55,2388.0,2388.0,13.68,6.84,1,0
FBAKFXHKC856,MWPR97Y2LOFN1R,FC-F,HDSC_LITE,SKU-0218,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,121,5254,4946,308,73,237,32.27,169546.58,159607.42,9939.16,7647.99,9.09,4.54,0,0
FBANT3BNVBC2,MVYHH6K6HG0016,FC-A,HDSC_LITE,SKU-0179,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,11,433,8660,8241,419,406,419,32.28,279544.8,266019.48,13525.32,13525.32,13.18,6.59,0,0
FBA201LHLB50,MATVZKHIUIT7M1,FC-B,HDSC_LITE,SKU-0126,High-compliance,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,64,50,7636,6978,658,378,658,18.7,142793.2,130488.6,12304.6,12304.6,12.35,6.17,0,1
FBA8S4C3BAEW,MCFHQCW76XATOA,FC-D,HDSC_LITE,SKU-0185,High-compliance,Automated (SSCC),Correct,Correct,0,1,328,8883,8883,0,0.0,0,28.8,255830.4,255830.4,0.0,0.0,0.21,0.1,0,0
FBAJM2C8QIZK,M3C9XBONRWZC4X,FC-A,HDSC,SKU-0085,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,25,269,10155,9959,196,540,196,32.41,329123.55,322771.19,6352.36,6352.36,8.62,4.31,0,0
FBATXG4AHF33,M7KUU4YTN02YC0,FC-B,HDSC_LITE,SKU-0089,High-compliance,Automated (SSCC),Correct,Correct,0,1,460,4594,4594,0,0,0,22.37,102767.78,102767.78,0.0,0.0,0.21,0.1,0,0
FBAITNGVN1KI,MCJN2FOMD7Q1DD,FC-B,HDSC_LITE,SKU-0111,High-compliance,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,251,7382,6811,571,284,524,16.06,118554.92,109384.66,9170.26,8415.44,0.92,0.46,0,1
FBAD669UGNEK,MRCPPRCJIWVHDK,FC-B,HDSC,SKU-0243,High-compliance,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,53,398,6354,6013,341,317,341,15.16,96326.64,91157.08,5169.56,5169.56,47.46,23.73,0,0
FBAGOL0W82LK,M2N7H9G1A07H23,FC-F,HDSC_LITE,SKU-0018,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,26,160,7849,7159,690,255,690,7.45,58475.05,53334.55,5140.5,5140.5,11.25,5.62,0,1
FBAUT75PB8Z3,MV6DIXFWUXX8L2,FC-C,HDSC_LITE,SKU-0028,Standard,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,245,9797,9595,202,264,202,10.1,98949.7,96909.5,2040.2,2040.2,11.9,5.95,0,0
FBASMADO8E7F,MLQHRRPZLK3E4X,FC-B,HDSC,SKU-0174,High-compliance,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,353,9644,9144,500,528,500,8.58,82745.52,78455.52,4290.0,4290.0,2.96,1.48,0,0
FBA05QPAHKZ2,MU2TNHEYR8LNOE,FC-C,HDSC_LITE,SKU-0091,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,56,14,6482,5849,633,88,633,29.04,188237.28,169854.96,18382.32,18382.32,40.8,20.4,0,0
FBANFNVUPRT7,M7GGKG4W58RHNU,FC-A,HDSC_LITE,SKU-0168,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,40,93,1917,1812,105,87,105,18.74,35924.58,33956.88,1967.7,1967.7,32.39,16.2,0,1
FBAGQ01TEE13,MN3BZT9D31K9QM,FC-A,HDSC_LITE,SKU-0210,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,29,147,8809,7909,900,120,900,27.82,245066.38,220028.38,25038.0,25038.0,9.64,4.82,0,0
FBAHCMKTLZKJ,M49YD82795E5IZ,FC-F,HDSC,SKU-0213,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,18,416,3386,2996,390,173,390,15.57,52720.02,46647.72,6072.3,6072.3,4.87,2.44,0,0
FBA7N8LA100Q,MXMCTHPHJ3MUUR,FC-A,HDSC_LITE,SKU-0088,Standard,Manual,SSCC-Item-Mismatch,SSCC Wrong Item,1,1,355,7810,7029,781,24,781,4.47,34910.7,31419.63,3491.07,3491.07,10.06,5.03,0,1
FBA965K55DMC,MXXBW01PDDHCVS,FC-A,HDSC,SKU-0114,Standard,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,103,7010,7001,9,356,9,13.99,98069.9,97943.99,125.91,125.91,2.36,1.18,0,0
FBANKN35XYCU,MVFMH07WPH6FE0,FC-A,HDSC,SKU-0090,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,14,160,2240,2078,162,35,162,10.93,24483.2,22712.54,1770.66,1770.66,16.74,8.37,0,0
FBAKSS0KB68R,MERVT997E4UNY1,FC-B,HDSC_LITE,SKU-0245,High-compliance,Manual,Correct,Correct,0,1,448,10788,10788,0,0,0,4.27,46064.76,46064.76,0.0,0.0,0.21,0.1,1,0
FBAOZCTWJLSH,M3TOW4YCZ04CDP,FC-E,HDSC_LITE,SKU-0117,Standard,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,392,8210,7586,624,28,316,24.31,199585.1,184415.66,15169.44,7681.96,10.54,5.27,0,1
FBAS3JN050E6,MMPSJ9WRSB4GF1,FC-A,HDSC_LITE,SKU-0229,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,267,5681,5562,119,116,94,19.28,109529.68,107235.36,2294.32,1812.32,1.2,0.6,0,1
FBA60PLOZJCN,MS6G298CQK4LTA,FC-C,HDSC_LITE,SKU-0052,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,5,411,9059,8436,623,248,623,17.85,161703.15,150582.6,11120.55,11120.55,11.35,5.67,0,0
FBATWYAM1N0L,MH9P89FKBI4O6Q,FC-E,HDSC_LITE,SKU-0192,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,53,119,392,354,38,3,38,19.17,7514.64,6786.18,728.46,728.46,35.55,17.77,0,0
FBA3LQI7E1DD,MQLEM1QQ4D3KZV,FC-A,HDSC_LITE,SKU-0056,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,41,358,6439,6287,152,46,152,25.76,165868.64,161953.12,3915.52,3915.52,44.35,22.18,0,1
FBA0IQ2FA39E,M3NWXUJ3AC6PE6,FC-A,HDSC_LITE,SKU-0213,Standard,Automated (SSCC),Correct,Correct,0,1,284,7409,7409,0.2,0.1,0,29.29,217009.61,217009.61,0.0,0.0,0.21,0.1,0,0
FBAQFWWXR5RD,MNPX2I9TANZR2M,FC-C,HDSC_LITE,SKU-0145,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,24,143,4506,4176,330,198,330,11.65,52494.9,48650.4,3844.5,3844.5,1.93,0.96,0,1
FBA199DXJ37C,M9H42M44GV3Z6B,FC-B,HDSC_LITE,SKU-0180,High-compliance,Automated (SSCC),Physical-Virtual-Mismatch,SSCC Wrong Item + Qty,1,61,183,8675,8383,292,192,292,29.77,258254.75,249561.91,8692.84,8692.84,49.62,24.81,0,0
FBARLW3MG25C,MFZFDSNCZXVML9,FC-A,HDSC_LITE,SKU-0188,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,29,269,3766,3360,406,163,406,33.74,127064.84,113366.4,13698.44,13698.44,24.29,12.14,0,0
FBA0KGAZU41U,MGL3WXDRLCMLW8,FC-F,HDSC_LITE,SKU-0211,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,23,157,6200,5513,687,327,687,26.34,163308.0,145212.42,18095.58,18095.58,11.54,5.77,1,1
FBAPPFO5MN32,MU1IQ2BAJDM5FC,FC-B,HDSC_LITE,SKU-0242,High-compliance,Automated (SSCC),Physical-Virtual-Mismatch,SSCC Wrong Item + Qty,1,1,197,789,745,44,38,44,34.53,27244.17,25724.85,1519.32,1519.32,14.12,7.06,0,0
FBA9OT7TXKDO,MTRBAD3WRDHW9R,FC-F,HDSC,SKU-0030,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,13,105,5425,5017,408,241,408,18.65,101176.25,93567.05,7609.2,7609.2,16.64,8.32,1,0
FBAQIJC1YDMT,M8VT43PT5R5RC6,FC-C,HDSC_LITE,SKU-0183,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,6,225,4314,3799,515,75,515,6.85,29550.9,26023.15,3527.75,3527.75,14.92,7.46,0,0
FBA9W4J66CNO,MLJQ52WSPOFV17,FC-A,HDSC_LITE,SKU-0237,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,11,103,7134,6557,577,399,577,6.23,44444.82,40850.11,3594.71,3594.71,7.2,3.6,0,0
FBAGOWYOO5YB,MRJNM2L44Y9IK0,FC-C,HDSC,SKU-0199,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,19,7751,7475,276,373,213,22.36,173312.36,167141.0,6171.36,4762.68,1.88,0.94,0,0
FBA2CZO2SUG5,MHCBBMHNQO7YIR,FC-D,HDSC,SKU-0115,High-compliance,Automated (SSCC),Correct,Correct,0,1,263,1578,1578,1.9,0,0,14.02,22123.56,22123.56,0.0,0.0,0.21,0.1,0,0
FBAU84XYJOA2,M1A6XVAJ2K8XPN,FC-A,HDSC_LITE,SKU-0090,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,7,437,6555,6296,259,111,259,17.93,117531.15,112887.28,4643.87,4643.87,13.93,6.96,0,0
FBAKYRMJLJX8,MXGSIC43OLFARK,FC-E,HDSC_LITE,SKU-0233,Standard,Manual,SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,311,9729,8900,829,397,754,4.13,40180.77,36757.0,3423.77,3114.02,11.31,5.66,0,1
FBA7MKGXUKQ0,M0U686XII5P5NV,FC-A,HDSC,SKU-0119,Standard,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,464,7795,7313,482,27,443,23.3,181623.5,170392.9,11230.6,10321.9,9.36,4.68,0,0
FBA5F9M969F5,MGCL9LCQH1UF22,FC-A,HDSC,SKU-0034,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,27,6769,6324,445,324,219,15.91,107694.79,100614.84,7079.95,3484.29,15.22,7.61,0,1
FBAAA0I5LDSL,MCB8QSSPYE9R1F,FC-B,HDSC_LITE,SKU-0233,High-compliance,Automated (SSCC),Correct,Correct,0,1,97,8701,8701,0,0,0,9.76,84921.76,84921.76,0.0,0.0,0.21,0.1,1,0
